,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
49,5050,NHL 10    Read the review,PS3,EA Canada,EA Sports,9.1,,0.57,0.38,0.12,,0.07,2009,09
50,5051,Harvest Moon: Sunshine Islands,DS,Marvelous Interactive,Natsume,9.0,,0.57,0.35,0.03,0.17,0.03,2009,11
51,5052,Iron Man,X360,Secret Level,Sega,,,0.57,0.27,0.24,,0.06,2008,05
52,5053,Rock Band 4,PS4,Harmonix Music Systems,Harmonix Music Systems,,,0.57,0.41,0.06,,0.1,2015,10
53,5054,Zumba Fitness,PS3,"Pipeworks Software, Inc.",Majesco,,,0.57,0.28,0.21,,0.07,2010,11
54,5055,3D Dot Game Heroes    Read the review,PS3,Silicon Studio,Atlus,7.5,,0.57,0.36,0.12,0.03,0.07,2010,05
55,5056,Final Fantasy Crystal Chronicles: Echoes of Time,All,Square Enix,Unknown,,,,,,,,,
56,5057,Football Manager 2005,PC,Sports Interactive,Sega,,,0.01,,0.01,,0.0,2004,12
57,5058,Midtown Madness 3,XB,Digital Illusions,Microsoft Game Studios,,,0.3,0.23,0.07,,0.01,2003,06
58,5059,Mobile Suit Gundam: Extreme Vs,PS3,Namco Bandai,Namco Bandai Games,,,0.38,,,0.38,,2014,01
59,5060,Nazo no Murasame-Jou (FDS),NES,Nintendo EAD,Nintendo,,,0.57,,,0.57,,1986,04
60,5061,NBA Hangtime,N64,Fun Com,Midway Games,,,0.57,0.48,0.08,,0.0,1997,01
61,5062,Sword Art Online: Hollow Fragment,PSV,Bandai Namco Games,Namco Bandai Games,,,0.3,,,0.3,,2014,08
62,5063,Taiko no Tatsujin Wii,Wii,Bandai Namco Games,Namco Bandai,,,0.67,,,0.67,,2008,12
63,5064,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,KCEJ,Konami,,,0.95,0.68,0.25,,0.02,2003,04
64,5065,Disney Universe,X360,Disney Interactive Studios,Disney Interactive Studios,6.7,,0.57,0.37,0.14,,0.05,2011,10
65,5066,Blood Wake,XB,Stormfront Studios,Microsoft,,,0.57,0.43,0.12,,0.02,2001,12
66,5067,Dynasty Warriors 5: Xtreme Legends,PS2,Omega Force,KOEI,,,0.57,0.11,0.08,0.35,0.03,2005,11
67,5068,Final Fantasy X / X-2 HD Remaster,PC,Square Enix,Square Enix,,,,,,,,2016,05
68,5069,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,DS,Natsume,THQ,,,0.57,0.52,0.0,,0.04,2008,10
69,5070,WWE 2K17,XOne,Yuke's,2K Games,,,0.57,0.26,0.26,,0.05,2016,10
70,5071,Jampack Summer 2002,PS2,Sony Computer Entertainment America,Sony Computer Entertainment,,,0.57,0.28,0.22,,0.07,2002,05
71,5072,Trivial Pursuit    Read the review,Wii,Adrenalin Interactive,Electronic Arts,7.3,,0.57,0.2,0.3,,0.06,2009,03
72,5073,FIFA World Cup Germany 2006,PS2,EA Canada,EA Sports,7.9,,0.57,0.47,0.02,,0.08,2006,04
73,5074,Wreckless: ThE YaKuza MisSiOns,XB,Bunkasha Publishing,Activision,,,0.57,0.42,0.11,0.02,0.02,2002,02
74,5075,Anomaly: Warzone Earth,PC,11 bit studios,Unknown,7.9,,,,,,,2011,04
75,5076,Starlink: Battle for Atlas,NS,Ubisoft Toronto,Ubisoft,7.5,6.0,0.57,0.35,0.17,,0.05,2018,10
76,5077,Super Bomberman,SNES,Produce!,Hudson Soft,,,0.57,,,0.57,0.0,1993,01
77,5078,Top Spin 3,PS3,Pam Development,2K Sports,7.8,,0.57,0.08,0.37,0.0,0.12,2008,06
78,5079,SpongeBob SquarePants: Battle for Bikini Bottom,XB,Heavy Iron Studios,THQ,6.7,,0.57,0.45,0.1,,0.02,2003,10
79,5080,Up,Wii,THQ,THQ,,,0.57,0.22,0.29,,0.06,2009,05
80,5081,Spider-Man 3,X360,Treyarch,Activision,6.0,,0.57,0.49,0.04,,0.04,2007,05
81,5082,Tony Hawk: Shred,Wii,Buzz Monkey Software,Activision,,,0.57,0.41,0.11,,0.04,2010,10
82,5083,FIFA 15,Wii,EA Canada,EA Sports,,,0.57,0.15,0.37,,0.04,2014,09
83,5084,SD Gundam G Generation Neo,PS2,Bandai,Bandai,,,0.57,,,0.57,,2002,11
84,5085,Resident Evil Outbreak File #2,PS2,Capcom Production Studio 1,Capcom,5.8,,0.57,0.19,0.15,0.17,0.05,2005,04
85,5086,NHL 14,PS3,EA Canada,EA Sports,,,0.57,0.28,0.19,,0.1,2013,09
86,5087,The Sims 3: World Adventures,PC,EA Redwood Shores,Electronic Arts,8.2,,0.57,0.02,0.18,,0.37,2009,11
87,5088,Bob the Builder: Can We Fix It?,PS,Steel Monkeys,THQ,,,0.57,0.31,0.21,,0.04,2001,08
88,5089,XIII,PS2,Ubisoft Paris,Ubisoft,,,0.57,0.28,0.22,,0.07,2003,11
89,5090,Bratz 4 Real,DS,THQ,THQ,,,0.57,0.29,0.22,,0.06,2007,11
90,5091,LEGO Jurassic World,WiiU,Traveller's Tales,Warner Bros. Interactive Entertainment,,,0.57,0.29,0.2,0.03,0.05,2015,06
91,5092,NHL 18,PS4,EA Canada,EA Sports,,,0.57,0.31,0.16,,0.1,2017,09
92,5093,NEKOPARA Vol. 0,PC,Neko Works,Unknown,,,,,,,,,
93,5094,The Legend of Spyro: Dawn of the Dragon,Wii,Etranges Libellules,Vivendi Games,,,0.57,0.34,0.17,,0.05,2008,10
94,5095,Mega Man Legacy Collection,PS4,Digital Eclipse Software,Capcom,,,0.11,0.09,,,0.02,2016,02
95,5096,Breath of Fire IV,PS,Capcom,Capcom,8.4,,0.56,0.11,0.08,0.34,0.04,2000,11
96,5097,True Crime: Streets of LA,GC,EXAKT Entertainment,Activision,8.1,,0.56,0.44,0.11,,0.02,2003,11
97,5098,Everybody's Golf,PS4,Clap Hanz,Sony Interactive Entertainment,8.1,,0.56,0.12,0.22,0.17,0.06,2017,08
98,5099,Petz Wild Animals: Tigerz,DS,Magic Pockets,Ubisoft,,,0.56,0.52,0.0,,0.04,2008,02
99,5100,The Amazing Spider-Man 2 (2014),PS4,Beenox,Activision,,,0.56,0.2,0.26,0.02,0.09,2014,04
100,5101,Odin Sphere,PS2,Vanillaware,Atlus,8.0,,0.56,0.23,0.18,0.09,0.06,2007,05
101,5102,Final Fantasy IV: The Complete Collection,PSP,Matrix Software,Square Enix,8.0,,0.56,0.13,0.09,0.27,0.06,2011,04
102,5103,The Incredible Hulk,GBA,Pocket Studios,Universal Interactive,6.0,,0.56,0.4,0.15,,0.01,2003,05
103,5104,Kingdoms and Castles,PC,Lion Shield,Unknown,,,,,,,,,
