,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
502,6190,Thrillville: Off the Rails,Wii,Frontier Developments,LucasArts,,,0.44,0.38,0.02,,0.03,2007,10
503,6191,2014 FIFA World Cup Brazil,X360,EA Canada,EA Sports,7.3,,0.44,0.15,0.25,0.0,0.03,2014,04
504,6192,Crash: Mind Over Mutant,Wii,Radical Entertainment,Activision,7.5,,0.44,0.35,0.06,,0.03,2008,10
505,6193,Scooby-Doo! Mystery Mayhem,GBA,Artificial Mind and Movement,THQ,,,0.44,0.31,0.12,,0.01,2003,09
506,6194,Super Breakout,2600,Atari,Atari,,,0.44,0.41,0.03,,0.0,1978,01
507,6195,Eternal Sonata    Read the review,PS3,Tri-Crescendo,Namco Bandai,8.3,,0.44,0.19,0.12,0.07,0.05,2008,10
508,6196,ICEY,PC,FantaBlade Network,Unknown,,,,,,,,,
509,6197,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,Namco,Namco,,,0.44,,,0.44,,2003,03
510,6198,Hyperdimension Neptunia,PS3,Compile Heart,NIS America,5.3,,0.44,0.22,0.1,0.07,0.04,2011,02
511,6199,Food Network: Cook or Be Cooked,Wii,Red Fly Studio,Namco Bandai,,,0.44,0.41,,,0.03,2009,11
512,6200,Walk it Out!,Wii,Konami,Konami,,,0.44,0.35,0.06,,0.03,2010,01
513,6201,TimeSplitters 2,GC,Free Radical Design,Eidos Interactive,,,0.44,0.34,0.09,,0.01,2002,10
514,6202,Robert Ludlum's The Bourne Conspiracy,X360,High Moon Studios,Sierra Entertainment,,,0.44,0.26,0.13,,0.04,2008,06
515,6203,Battlebots: Design & Destroy,GBA,Cave Barn,Majesco,4.0,,0.44,0.31,0.12,,0.01,2003,08
516,6204,Wheel of Fortune,DS,"Pipeworks Software, Inc.",THQ,,,0.44,0.41,,,0.03,2010,11
517,6205,Need for Speed: Shift 2 Unleashed    Read the review,X360,Slightly Mad Studios,Electronic Arts,8.5,,0.44,0.18,0.21,,0.05,2011,03
518,6206,Karaoke Revolution,Wii,Blitz Games,Konami,,,0.44,0.24,0.16,,0.04,2009,11
519,6207,Star Wars The Clone Wars: Republic Heroes,PS3,Krome Studios,LucasArts,,,0.44,0.19,0.18,,0.07,2009,10
520,6208,Power Rangers: S.P.D.,GBA,Natsume,THQ,,,0.44,0.31,0.12,,0.01,2005,09
521,6209,Jump Start Pet Rescue,Wii,Knowledge Adventure Inc.,Knowledge Adventure,,,0.44,0.41,,,0.03,2009,09
522,6210,Child of Eden,X360,Q Entertainment,Ubisoft,8.3,,0.44,0.28,0.12,,0.04,2011,06
523,6211,Naruto: Ultimate Ninja 3 (US sales),PS2,CyberConnect2,Namco Bandai,,,0.44,0.36,0.01,,0.06,2008,03
524,6212,The Darkness,X360,Starbreeze,2K Games,8.3,,0.44,0.36,0.04,0.01,0.03,2007,06
525,6213,Resistance: Burning Skies,PSV,Nihilistic Software,Sony Computer Entertainment,,,0.44,0.18,0.16,0.02,0.08,2012,05
526,6214,SingStar Motown,PS2,SCEE London Studio,Sony Computer Entertainment,,,0.44,,0.06,,0.38,2009,11
527,6215,Naughty Bear,PS3,Artificial Mind and Movement,505 Games,4.5,,0.44,0.18,0.18,,0.07,2010,06
528,6216,Metro: Last Light,PS3,4a-games,Deep Silver,,,0.44,0.14,0.21,0.03,0.07,2013,05
529,6217,Neon Genesis Evangelion,SAT,Gainax,Sega,,,0.44,,,0.44,,1996,03
530,6218,Mobile Suit Gundam: One Year War,PS2,Namco,Bandai,,,0.44,,,0.44,,2005,04
531,6219,Tongari Boushi to Mahou no Otana,DS,Konami,Konami,,,0.44,,,0.44,,2010,11
532,6220,God Eater 2: Rage Burst,PSV,Namco Bandai Games,Namco Bandai Games,,,0.44,,0.05,0.38,0.01,2016,10
533,6221,NFL Blitz 20-03,PS2,Point of View,Midway Games,,,0.44,0.21,0.17,,0.06,2002,08
534,6222,SpongeBob's Atlantis SquarePantis,PS2,Blitz Games,THQ,,,0.44,0.36,0.01,,0.06,2007,10
535,6223,Nicktoons: Attack of the Toybots,Wii,Blue Tongue Entertainment,THQ,,,0.44,0.4,0.0,,0.03,2007,10
536,6224,LEGO DC Super-Villains,NS,Traveller's Tales,Warner Bros. Interactive Entertainment,7.8,,0.44,0.28,0.12,,0.04,2018,10
537,6225,Remington Great American Bird Hunt,Wii,Kouyousha,Mastiff,,,0.44,0.41,,,0.03,2009,10
538,6226,Star Wars: Jedi Starfighter,XB,Secret Level,LucasArts,,,0.44,0.35,0.07,,0.02,2002,05
539,6227,Classic NES Series: Metroid,GBA,Nintendo,Nintendo,,,0.43,0.26,0.1,0.07,0.01,2004,10
540,6228,Master of Illusion,DS,Tenyo,Nintendo,,,0.43,0.16,0.0,0.26,0.01,2007,11
541,6229,Primal,PS2,SCEE Cambridge,Sony Computer Entertainment,7.1,,0.43,0.21,0.17,,0.06,2003,03
542,6230,Madden NFL 2002,N64,BudCat Games,EA Sports,,,0.43,0.41,0.02,,0.0,2001,09
543,6231,Need for Speed Underground 2,GBA,Pocketeers,Electronic Arts,,,0.43,0.31,0.12,,0.01,2004,11
544,6232,007: Quantum of Solace,PS2,Treyarch,Activision,7.8,,0.43,0.17,0.0,0.0,0.26,2008,11
545,6233,Skylanders Imaginators,PS4,Toys for Bob,Activision,,,0.43,0.18,0.18,,0.07,2016,10
546,6234,Trials Fusion,PS4,Unknown,Ubisoft,,,0.43,0.13,0.23,0.01,0.07,2014,04
547,6235,Spec Ops: Covert Assault,PS,Runecraft,Take-Two Interactive,,,0.43,0.24,0.16,,0.03,2001,06
548,6236,Nicktoons Unite!,GBA,Climax Group,THQ,,,0.43,0.31,0.12,,0.01,2005,10
549,6237,SSX Tricky,XB,EA Canada,EA Sports BIG,,,0.43,0.32,0.09,,0.02,2001,12
550,6238,A Story About My Uncle,PC,Unknown,Coffee Stain Studios,,,,,,,,2014,05
551,6239,Skylanders: SuperChargers,PS3,Vicarious Visions,Activision,,,0.43,0.2,0.16,,0.07,2015,09
552,6240,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,Traveller's Tales,Buena Vista,,,0.43,0.36,0.01,,0.06,2005,11
553,6241,My Spanish Coach,DS,Sensory Sweep Studios,Ubisoft,,,0.43,0.4,0.0,,0.03,2007,11
554,6242,Terra Incognita ~ Chapter One: The Descendant,PC,Back To Basics Gaming,Unknown,,,,,,,,,
555,6243,NiGHTS into dreams...,SAT,Sonic Team,Sega,9.1,,0.43,,,0.43,0.0,1996,08
556,6244,Crash: Mind Over Mutant,PSP,Virtuos,Activision,4.8,,0.43,0.11,0.21,,0.11,2008,10
557,6245,NCAA Football 2004,XB,EA Tiburon,EA Sports,,,0.43,0.4,0.02,,0.02,2003,07
558,6246,DanceStar Party,PS3,SCEE London Studio,Sony Computer Entertainment,,,0.43,,0.34,,0.09,2011,10
559,6247,Bionicle,PS2,Argonaut Games,Electronic Arts,,,0.43,0.21,0.17,,0.06,2003,10
560,6248,MLB 2002,PS,989 Sports,Sony Computer Entertainment,,,0.43,0.24,0.16,,0.03,2001,05
561,6249,MLB 14 The Show,PS3,SCE San Diego Studio,Sony Computer Entertainment America,8.2,,0.43,0.35,,,0.08,2014,04
562,6250,TimeSplitters,PS2,Free Radical Design,Eidos Interactive,,,0.43,0.21,0.17,,0.06,2000,10
563,6251,Barnstorming,2600,Activision,Activision,,,0.43,0.4,0.02,,0.0,1982,01
564,6252,InuYasha: The Secret of the Cursed Mask,PS2,Kamui,Bandai,,,0.43,0.21,0.17,,0.06,2004,11
565,6253,Barbie: Groom and Glam Pups,DS,THQ,THQ,,,0.43,0.25,0.14,,0.04,2010,11
566,6254,The Powerpuff Girls: Him and Seek,GBA,Vicarious Visions,BAM! Entertainment,,,0.43,0.31,0.11,,0.01,2002,10
567,6255,Mega Man Zero 2,GBA,Inti Creates,Capcom,,,0.43,0.18,0.07,0.17,0.01,2003,10
568,6256,Just Dance 2017,WiiU,Ubisoft Paris,Ubisoft,,,0.43,0.19,0.21,,0.04,2016,10
569,6257,Wonder Project J: Kikai no Shonen Pino,SNES,Almanic Corp.,Enix,,,0.43,,,0.43,,1994,12
570,6258,Evoland,PC,Unknown,Shiro Games,,,,,,,,2013,04
571,6259,NBA 2K13,Wii,Visual Concepts,2K Sports,,,0.43,0.36,0.03,,0.04,2012,10
572,6260,OkamiDen,DS,Capcom,Capcom,8.3,,0.43,0.21,0.07,0.13,0.02,2011,03
573,6261,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,Majesco Games,Majesco,,,0.43,0.31,0.11,,0.01,2004,05
574,6262,Rocksmith 2014,XOne,Ubisoft San Francisco,Ubisoft,9.0,,0.43,0.31,0.08,,0.04,2016,10
575,6263,TouchMaster 3,DS,Midway Studios San Diego,Warner Bros. Interactive,,,0.43,0.29,0.11,,0.04,2009,10
576,6264,Dora the Explorer: Dora Puppy,DS,Take-Two Interactive,2K Play,,,0.43,0.39,0.01,,0.03,2009,11
577,6265,Alpha Protocol,PS3,Obsidian Entertainment,Sega,,,0.43,0.19,0.17,,0.07,2010,06
578,6266,Ghostbusters: The Video Game,PS2,Red Fly Studio,Atari,,,0.43,0.15,0.04,,0.24,2009,06
579,6267,Hunter: The Reckoning  Wayward,PS2,High Voltage Software,VU Games,,,0.43,0.21,0.16,,0.06,2003,09
580,6268,Mischief Makers,N64,"Treasure Co., Ltd.",Nintendo,6.5,,0.43,0.25,0.06,0.07,0.06,1997,10
581,6269,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,Capcom,Namco Bandai,,,0.41,,,0.41,,2009,12
582,6270,Super Robot Wars Z III,All,Banpresto,Unknown,,,,,,,,,
583,6271,WipEout 64,N64,Psygnosis,Midway Games,,,0.43,0.28,0.14,,0.01,1998,11
584,6272,"Barbie: Jet, Set & Style!",DS,THQ,THQ,,,0.43,0.34,0.05,,0.04,2011,09
585,6273,Castlevania: Dawn of Sorrow,DS,Konami,Konami,8.9,,0.43,0.34,0.03,0.03,0.03,2005,10
586,6274,Deer Drive,DS,SCS Software,Mastiff,,,0.43,0.4,,,0.03,2010,09
587,6275,Petz Bunnyz,DS,Ubisoft,Ubisoft,,,0.43,0.39,0.01,,0.03,2008,03
588,6276,EyeToy: AntiGrav,PS2,Harmonix Music Systems,Sony Computer Entertainment,,,0.43,0.36,0.01,,0.06,2004,11
589,6277,EverQuest Online Adventures,PS2,Sony Online Entertainment,Sony Online Entertainment,,,0.43,0.21,0.16,,0.05,2003,02
590,6278,NBA 2K18,NS,Visual Concepts,2K Sports,7.5,,0.43,0.3,0.06,0.03,0.04,2017,09
591,6279,Asura's Wrath,PS3,CyberConnect2,Capcom,,8.3,0.43,0.2,0.12,0.06,0.05,2012,02
592,6280,Doom (2016),NS,id Software,Bethesda Softworks,8.2,9.1,0.43,0.24,0.15,0.01,0.04,2017,11
593,6281,Cool Boarders,PS,UEP Systems,Sony Computer Entertainment,,,0.43,0.1,0.07,0.24,0.03,1996,12
594,6282,Zork: The Great Underground Empire,PC,"Infocom, Inc.",Infocom,,,,,,,,1982,12
595,6283,NHL 19,PS4,EA Canada,EA Sports,,,0.43,0.26,0.09,,0.08,2018,09
596,6284,Mobile Suit Gundam: Zeonic Front,PS2,Sunrise Interactive,Bandai,,,0.43,0.09,0.07,0.25,0.02,2002,01
597,6285,Atelier Totori: The Adventurer of Arland,PS3,Gust,NIS America,7.8,,0.43,0.12,0.07,0.21,0.03,2011,09
598,6286,Monopoly,PS2,EA Bright Light,Electronic Arts,,,0.43,0.21,0.16,,0.05,2008,10
599,6287,Disney Sing It,X360,Zoe Mode,Disney Interactive Studios,,,0.43,0.39,0.01,,0.03,2008,10
600,6288,Petz: Horsez 2,DS,Ubisoft,Ubisoft,,,0.43,0.39,,,0.03,2007,11
601,6289,Madden NFL 2003,GC,EA Tiburon,EA Sports,9.1,,0.43,0.33,0.09,,0.01,2002,08
602,6290,Backyard Baseball,GBA,Game Brains,Atari,,,0.43,0.31,0.11,,0.01,2002,05
603,6291,Destiny: The Taken King,PS3,Bungie,Activision,,,0.43,0.21,0.12,0.03,0.07,2015,09
604,6292,Midway Arcade Treasures,XB,Digital Eclipse,Midway Games,,,0.43,0.33,0.08,,0.01,2003,11
605,6293,Sniper Elite III,XOne,Rebellion Developments,505 Games,,,0.43,0.27,0.12,,0.04,2014,07
606,6294,Def Jam Icon,PS3,Unknown,Electronic Arts,6.6,,0.43,0.16,0.19,0.0,0.07,2007,03
607,6295,DLC Quest,PC,Going Loud Studios,Unknown,,,,,,,,,
608,6296,Bakugan: Battle Brawlers,PS2,MTO,Activision,,,0.43,0.21,0.16,,0.05,2009,10
609,6297,NHL FaceOff 99,PS,Killer Game,989 Studios,,,0.43,0.24,0.16,,0.03,1998,09
610,6298,SEGA Classics Collection,PS2,Sega,Sega,,,0.43,0.21,0.16,,0.05,2005,03
611,6299,LEGO Marvel's Avengers,PS3,Traveller's Tales,Warner Bros. Interactive Entertainment,,,0.43,0.13,0.23,,0.07,2016,01
612,6300,Sin and Punishment: Star Successor,Wii,"Treasure Co., Ltd.",Nintendo,8.4,,0.43,0.19,0.14,0.06,0.03,2010,06
613,6301,Ben 10 Alien Force: Vilgax Attacks,PSP,1st Playable Productions,D3 Publisher,,,0.43,0.13,0.19,,0.11,2009,10
614,6302,Naruto: Ninja Council 3,DS,Aspect,D3 Publisher,,,0.42,0.39,,,0.03,2007,05
615,6303,Bayonetta,PC,PlatinumGames,Sega,,,,,,,,2017,04
616,6304,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,Banpresto,Banpresto,,,0.42,,,0.42,,2011,04
617,6305,Neon Genesis Evangelion 2nd Impression,SAT,Sega,Sega,,,0.42,,,0.42,0.0,1997,03
618,6306,NBA Street,GC,NuFX,EA Sports BIG,,,0.42,0.33,0.09,,0.01,2002,02
619,6307,Hello Neighbor,XOne,Dynamic Pixels,Gearbox Software,,,0.42,0.27,0.11,,0.04,2017,12
620,6308,Juiced: Eliminator,PSP,Juice Games,THQ,6.6,,0.42,0.11,0.2,,0.12,2006,06
621,6309,The Legend of Spyro: The Eternal Night,PS2,Krome Studios,Sierra Entertainment,,,0.42,0.21,0.16,,0.05,2007,10
622,6310,Mega Man Battle Network,GBA,Capcom,Capcom,,,0.42,0.14,0.05,0.22,0.01,2001,10
623,6311,Pirates of the Caribbean: At World's End,PSP,Eurocom Entertainment Software,Disney Interactive Studios,6.0,,0.42,0.15,0.17,,0.1,2007,05
624,6312,25 To Life,PS2,Avalanche Software / Ritual Entertainment,Eidos Interactive,,,0.42,0.35,0.01,,0.06,2006,01
625,6313,NHL 2K6,PS2,Kush Games,2K Sports,,,0.42,0.21,0.16,,0.05,2005,09
626,6314,Saints Row IV: Re-Elected,PS4,Volition Inc.,Deep Silver,,,0.42,0.15,0.18,0.03,0.06,2015,01
627,6315,Medal of Honor: Rising Sun,GC,EA Los Angeles,Electronic Arts,6.6,,0.42,0.33,0.09,,0.01,2003,11
628,6316,2010 FIFA World Cup South Africa,Wii,EA Canada,EA Sports,6.8,,0.42,0.23,0.15,0.01,0.04,2010,04
629,6317,The Sims,XB,Maxis,Electronic Arts,,,0.42,0.31,0.1,,0.01,2003,03
630,6318,Fossil Fighters: Frontier,3DS,Spike Chunsoft,Nintendo,,,0.42,0.13,0.04,0.23,0.02,2015,03
631,6319,Dog's Life,PS2,Frontier Developments,Hip Interactive,,,0.42,0.21,0.16,,0.05,2004,09
632,6320,Ben 10 Alien Force: Vilgax Attacks,DS,1st Playable Productions,D3 Publisher,,,0.42,0.22,0.16,,0.04,2009,10
633,6321,The X Files,PS,HyperBole Studios,Fox Interactive,,,0.42,0.24,0.16,,0.03,1999,09
634,6322,Super Wagyan Land,SNES,Namco,Namco,,,0.42,,,0.42,,1991,12
635,6323,Rascal,PS,Traveller's Tales,Sony Computer Entertainment,,,0.42,0.24,0.16,,0.03,1998,03
636,6324,Tony Hawk's American Wasteland,GC,Neversoft Entertainment,Activision,8.4,,0.42,0.33,0.08,,0.01,2005,10
637,6325,Command & Conquer 3: Tiberium Wars,X360,EA Los Angeles,Electronic Arts,7.6,,0.42,0.35,0.04,,0.03,2007,05
638,6326,Famicom Mini: Super Mario Bros. 2,GBA,Nintendo EAD,Nintendo,,,0.42,,,0.41,0.01,2004,08
639,6327,Ragnarok Odyssey,PSV,Game Arts,Xseed Games,,,0.42,0.2,0.01,0.16,0.05,2012,10
640,6328,TRON: Evolution,PS3,Propaganda Games,Disney Interactive Studios,,,0.42,0.27,0.1,,0.05,2010,12
641,6329,Hellblade: Senua's Sacrifice,PC,Ninja Theory,Ninja Theory,,,,,,,,2017,08
642,6330,Colony Wars,PS,Psygnosis,Psygnosis,8.8,,0.42,0.24,0.16,,0.03,1997,11
643,6331,All-Star Baseball 2004,PS2,Acclaim Entertainment,Acclaim Entertainment,,,0.42,0.21,0.16,,0.05,2003,03
644,6332,Big Strike Bowling,PS,Coresoft,Take-Two Interactive,,,0.42,0.23,0.16,,0.03,2003,05
645,6333,NBA 2K11,PSP,Visual Concepts,2K Sports,,,0.42,0.39,,,0.03,2010,10
646,6334,NASCAR Thunder 2002,PS,EA Black Box,EA Sports,,,0.42,0.23,0.16,,0.03,2001,10
647,6335,Grandia,SAT,Game Arts,ESP,8.7,,0.42,,,0.42,,1997,12
648,6336,ESPN NHL 2K5,XB,Kush Games,Sega,,,0.42,0.32,0.09,,0.02,2004,08
649,6337,Murder Miners,PC,JForce Games,JForce Games,,,,,,,,2014,07
650,6338,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,Konami,Konami,,,0.42,0.3,0.11,,0.01,2005,02
651,6339,Hot Wheels World Race,PS2,Climax Group,THQ,,,0.42,0.21,0.16,,0.05,2003,10
652,6340,Avatar: The Last Airbender - The Burning Earth,PS2,THQ Australia,THQ,,,0.42,0.21,0.16,,0.05,2007,10
653,6341,Guitar Hero: Smash Hits    Read the review,X360,Neversoft Entertainment,Activision,7.1,,0.42,0.23,0.15,,0.04,2009,06
654,6342,Superman: Shadow of Apokolips,PS2,Infogrames,Atari,,,0.42,0.21,0.16,,0.05,2002,09
655,6343,Just Dance: Summer Party,Wii,Ubisoft Paris,Ubisoft,,,0.42,0.4,,,0.03,2011,07
656,6344,Horsez,DS,MTO,Ubisoft,4.0,,0.42,0.38,0.01,,0.03,2006,11
657,6345,NASCAR Kart Racing,Wii,Electronic Arts North Carolina,EA Sports,,,0.42,0.39,,,0.03,2009,02
658,6346,American Chopper,PS2,Creat Studio,Activision,,,0.42,0.35,0.01,,0.06,2004,11
659,6347,Star Wars Trilogy: Apprentice of the Force,GBA,LucasArts,Ubisoft,,,0.42,0.3,0.11,,0.01,2004,09
660,6348,LEGO Rock Band    Read the review,PS3,TT Games / Harmonix Music Systems,Warner Bros. Interactive,7.4,,0.42,0.24,0.12,,0.06,2009,11
661,6349,Lemony Snicket's A Series of Unfortunate Events,GBA,Griptonite Games,Activision,,,0.42,0.3,0.11,,0.01,2004,11
662,6350,JGTC: All-Japan Grand Touring Car Championship,PS,TYO,TYO,,,0.42,0.23,0.16,,0.03,1998,06
663,6351,Arc the Lad III,PS,ARC Entertainment,Sony Computer Entertainment,,,0.42,,,0.39,0.03,1999,10
664,6352,Petz: Horsez 2,Wii,Ubisoft,Ubisoft,,,0.42,0.39,,,0.03,2007,11
665,6353,NHL 15,XOne,EA Canada,EA Sports,,,0.42,0.32,0.06,,0.04,2014,09
666,6354,Test Drive,XB,Pitbull Syndicate,Atari,,,0.42,0.35,0.05,,0.02,2002,05
667,6355,SpongeBob's Truth or Square (US sales),DS,Heavy Iron Studios,THQ,,,0.42,0.42,0.0,,,2009,10
668,6356,How to Train Your Dragon,Wii,Etranges Libellules,Activision,6.6,,0.42,0.23,0.15,,0.04,2010,03
669,6357,Jikkyou Powerful Pro Yakyuu 11,PS2,Diamond Head,Konami,,,0.42,,,0.42,,2004,07
670,6358,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,Krome Studios,THQ,,,0.42,0.21,0.16,,0.05,2003,09
671,6359,Afro Samurai,All,Namco Bandai Games,Unknown,,,,,,,,,
672,6360,Army Men: Sarge's Heroes 2,N64,3DO,3DO,6.0,,0.42,0.34,0.07,,0.0,2000,09
673,6361,Battlefield 1942: The WW II Anthology,PC,Digital Illusions CE,Electronic Arts,,,0.03,0.01,0.01,,0.0,2004,04
674,6362,Dr. Mario 64,N64,Newcom,Nintendo,6.0,,0.42,0.34,0.07,,0.0,2001,04
675,6363,Jikkyou Powerful Pro Yakyuu 6,N64,Diamond Head,Konami,,,0.42,,,0.39,0.03,1999,03
676,6364,Naruto: Uzumaki Chronicles,PS2,Cavia Inc.,Namco Bandai Games,,,,,,,,2008,09
677,6365,NFL Blitz 2001,N64,Unknown,Midway Games,,,0.42,0.34,0.07,,0.0,2000,09
678,6366,Rush 2: Extreme Racing USA,N64,Atari Games,Midway Games,,,0.42,0.35,0.06,,0.0,1998,11
679,6367,Star Ocean: The Last Hope    Read the review,X360,tri-Ace,Square Enix,7.3,8.0,0.79,0.32,0.2,0.21,0.06,2009,02
680,6368,James Bond 007: Everything or Nothing,GC,EA Redwood Shores,Electronic Arts,7.4,,0.42,0.32,0.08,,0.01,2004,02
681,6369,FIFA 14,Wii,EA Canada,EA Sports,,,0.42,,0.4,,0.02,2013,09
682,6370,Broken Age,PC,Double Fine Productions,Double Fine Productions,,,0.01,,0.0,,0.0,2013,07
683,6371,NBA Live 06,PSP,EA Canada,EA Sports,8.1,,0.42,0.39,0.0,,0.03,2005,10
684,6372,Dragon Quest X,WiiU,Square Enix,Square Enix,,,0.42,,,0.42,,2013,03
685,6373,MLB 08: The Show,PS2,SCEA San Diego Studios,Sony Computer Entertainment,,,0.42,0.35,0.01,,0.06,2008,03
686,6374,Dance Dance Revolution Ultramix 2,XB,Konami Computer Entertainment Hawaii,Konami,,,0.42,0.32,0.09,,0.02,2004,11
687,6375,Mega Man Anniversary Collection,GC,Atomic Planet Entertainment,Capcom,7.5,,0.42,0.32,0.08,,0.01,2004,06
688,6376,Dishonored: Definitive Edition,PS4,Arkane Studios,Bethesda Softworks,,,0.42,0.12,0.21,0.02,0.06,2015,08
689,6377,Crash: Mind Over Mutant,DS,TOSE,Activision,,,0.42,0.38,0.0,,0.03,2008,10
690,6378,Mirror's Edge Catalyst,PS4,EA DICE,Electronic Arts,,,0.42,0.13,0.19,0.03,0.06,2016,06
691,6379,Call of Duty: Black Ops II,WiiU,Treyarch,Activision,8.6,,0.42,0.2,0.18,,0.04,2012,11
692,6380,Super Famista 4,SNES,Namco,Namco,,,0.42,,,0.42,0.0,1995,03
693,6381,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,Majesco Games,Majesco,,,0.42,0.3,0.11,,0.01,2004,05
694,6382,Cabela's Legendary Adventures,PS2,Sand Grain Studios,Activision,,,0.42,0.21,0.16,,0.05,2008,09
695,6383,Metal Gear Solid: The Legacy Collection,PS3,Konami,Konami Digital Entertainment,,,0.42,0.31,0.01,0.03,0.07,2013,07
696,6384,NHL Slapshot,Wii,EA Canada,EA Sports,7.6,,0.42,0.39,,,0.03,2010,09
697,6385,Harry Potter and the Goblet of Fire,GC,Electronic Arts,Electronic Arts,6.7,,0.42,0.32,0.08,,0.01,2005,11
698,6386,Thrillville: Off the Rails,PS2,Frontier Developments,LucasArts,,,0.42,0.2,0.16,,0.05,2007,10
699,6387,Mega Man X6,PS,Capcom,Capcom,,,0.42,0.14,0.1,0.16,0.03,2001,12
700,6388,F1 2014,PS3,Codemasters Birmingham,Codemasters,,,0.42,0.07,0.27,0.02,0.06,2014,10
701,6389,Yu-Gi-Oh! GX: Tag Force 2,PSP,Konami,Konami,,,0.42,0.03,0.19,0.1,0.1,2007,09
702,6390,Call of Duty: Advanced Warfare,PC,Sledgehammer Games,Activision,8.6,,0.42,0.17,0.22,,0.03,2014,11
703,6391,BloodRayne,PS2,Terminal Reality,Majesco,,,0.42,0.2,0.16,,0.05,2002,10
704,6392,Sonic Gems Collection,GC,Sonic Team,Sega,6.9,,0.42,0.32,0.08,,0.01,2005,08
705,6393,Farming Simulator 2015,PS3,Giants Software,Focus Home Interactive,,,0.42,0.13,0.22,,0.07,2015,05
706,6394,Spec Ops: The Line,X360,Yager Development,2K Games,,,0.42,0.21,0.18,,0.04,2012,06
707,6395,Castlevania: Curse of Darkness,PS2,Konami,Konami,7.2,,0.42,0.18,0.14,0.05,0.05,2005,11
708,6396,International Superstar Soccer Pro '98,PS,KCET,Konami,,,0.42,0.02,0.02,0.35,0.03,1998,08
709,6397,Jimmy Neutron: Boy Genius,GBA,Human Soft,THQ,,,0.42,0.3,0.11,,0.01,2001,11
710,6398,Black,XB,Criterion Games,Electronic Arts,,,0.42,0.31,0.09,,0.01,2006,02
711,6399,Solitaire Overload,DS,Cosmigo,Telegames,,,0.42,0.39,,,0.03,2007,10
712,6400,Vanquish,X360,PlatinumGames,Sega,8.3,,0.42,0.19,0.16,0.03,0.04,2010,10
713,6401,Castlevania: The Dracula X Chronicles,PSP,Konami,Konami,8.0,,0.42,0.22,0.09,0.04,0.07,2007,10
714,6402,Double Pack: Finding Nemo / The Incredibles,XB,Traveller's Tales / Heavy Iron Studios,THQ,,,0.42,0.31,0.09,,0.01,2006,01
715,6403,My Summer Car,PC,Amistech Games,Unknown,,,,,,,,,
716,6404,Construction Simulator 2015,PC,Unknown,Unknown,,,0.01,,0.01,,0.0,,
717,6405,Sonic Adventure 2,PC,Sega,Unknown,,,,,,,,,
718,6406,TERA,PC,En Masse,Unknown,,,0.42,0.25,0.13,,0.04,2070,01
719,6407,Lord of the Rings: The Third Age,XB,EA Redwood Shores,Electronic Arts,,,0.42,0.31,0.09,,0.01,2004,11
720,6408,Hell Yeah! Wrath of the Dead Rabbit,PC,Arkedo Studio,Unknown,5.6,,,,,,,,
721,6409,Resident Evil HD Remaster,PC,Capcom,Unknown,,,,,,,,,
722,6410,Zack & Wiki: Quest for Barbaros' Treasure,Wii,Capcom,Capcom,8.7,,0.42,0.18,0.16,0.03,0.04,2007,10
723,6411,Pirates of the Caribbean: At World's End,PS2,Eurocom Entertainment Software,Disney Interactive Studios,,,0.42,0.2,0.16,,0.05,2007,05
724,6412,Mega Man Legends 2,PS,Capcom,Capcom,,,0.42,0.17,0.12,0.1,0.03,2000,10
725,6413,X-Men vs. Street Fighter,PS,Capcom,Capcom,,,0.42,0.16,0.11,0.12,0.03,1998,01
726,6414,Blazing Angels: Squadrons of WWII,X360,Ubisoft Romania,Ubisoft,6.4,,0.42,0.36,0.02,,0.03,2006,03
727,6415,High Rollers Casino,PS2,Bethesda Softworks,Mud Duck Productions,,,0.42,0.2,0.16,,0.05,2004,11
728,6416,The Suffering,PS2,Surreal Software,Midway Games,,,0.42,0.2,0.16,,0.05,2004,03
729,6417,Cyber Troopers Virtual-On,SAT,Sega-AM3,Sega,,,0.42,,,0.42,,1996,11
730,6418,Star Wars Starfighter: Special Edition,XB,Secret Level,LucasArts,,,0.42,0.3,0.1,,0.02,2001,11
731,6419,Dragon Ball Z: Shin Budokai,PSP,Dimps Corporation,Atari,7.4,,0.54,0.26,0.08,0.13,0.07,2006,03
732,6420,NBA Jam,PS2,Acclaim Entertainment,Acclaim Entertainment,,,0.41,0.2,0.16,,0.05,2003,09
733,6421,Zone of the Enders: The 2nd Runner,PS2,Konami Computer Entertainment Japan,Konami,8.6,,0.41,0.15,0.12,0.11,0.04,2003,03
734,6422,The Smurfs,DS,Ubisoft,Ubisoft,,,0.41,0.23,0.14,,0.04,2011,07
