,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
0,25001,Aztec Treasure Hunt,DS,Playlogic,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,25002,Aztec Wars,PC,Summitsoft Entertainment,Summitsoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 02
2,25003,Aztec: The Curse in the Heart of the City of Gold,PS,Wanadoo,Cryo Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 00
3,25004,Aztez,PS4,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
4,25005,Aztez,PSV,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
5,25006,Aztez,WiiU,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
6,25007,Aztez,XOne,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
7,25008,Aztez,OSX,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
8,25009,Aztez,Linux,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
9,25010,Aztez,PC,Unknown,Team Colorblind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
10,25011,Azubi's Pool Of Bethesda,XBL,Azubi,Microsoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Sep 09
11,25012,Azumanga Daioh Advance,GBA,King Records,King Records,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 03
12,25013,Azumanga Donjara Daiou,PS,Ganbarion,Bandai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Apr 02
13,25014,Azure Dreams,GB,KCE Nagoya,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 99
14,25015,Azure Striker Gunvolt 2,3DS,Inti Creates,Inti Creates,8.3,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 16
15,25016,B Team - Episode 1: Dust & Steel,DSiW,B Team - Episode 1: Dust & Steel,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th May 11
16,25017,B Team - Episode 2: Ice & Venom,DSiW,Subdued SoftwareSubdued Software,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Aug 11
17,25018,B Team: Metal Cartoon Squad,DS,Most Wanted Entertainment,PlayV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Feb 09
18,25019,B-1 Nuclear Bomber,PC,Microcomputer Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 81
19,25020,B-17 Flying Fortress,PC,MicroProse,Microprose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92
20,25021,B-17 Gunner: Air War Over Germany,PC,Sunstorm Interactive,WizardWorks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th May 01
21,25022,B-Boy,PS2,FreeStyleGames,SouthPeak Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 08
22,25023,B-Boy,PSN,FreeStyleGames,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Nov 07
23,25024,B-Daman Baku Gaiden V: Final Mega Tune,GB,Media Factory,Media Factory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Feb 00
24,25025,B-Daman Baku Gaiden: Victory e no Michi,GB,Media Factory,Media Factory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 99
25,25026,B-Units: Build It!,DS,505 Games,505 Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Sep 10
26,25027,B-Wings,NES,Data East,Data East,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jun 86
27,25028,B.A.T.,PC,Computer's Dream,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90
28,25029,b.l.u.e.: Legend of Water,PSN,CAProduction,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jul 08
29,25030,B.O.B.,SNES,Gray Matter,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 93
30,25031,B.O.B.,GEN,Chris Gray Enterprises,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93
31,25032,Babe and Friends,GB,Aqua Pacific,Crave Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 99
32,25033,Babel no Tou,NES,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Jul 86
33,25034,BABEL Rising,X360,Unknown,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jun 12
34,25035,BABEL Rising,PS3,Unknown,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 12
35,25036,BABEL Rising,PC,Unknown,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Aug 12
36,25037,BABEL: The King of the Blocks,PSN,StormBasic Games,StormBASIC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jun 11
37,25038,Baby Boomer,NES,Color Dreams,Color Dreams,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89
38,25039,Baby Face,PC,Oz Project,Oz Club,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 00
39,25040,Baby Felix Halloween,GB,Bit Managers,LSP Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Dec 01
40,25041,Baby Felix Tennis,PS,LSP,LSP Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 02
41,25042,Baby Jo in Going Home,PC,Loriciels,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,25043,Baby Jo: The Super Hero,PCE,Loriciels,Micro World,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 92
43,25044,Baby Luv,PC,Unknown,GameMill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 97
44,25045,Baby Maker Extreme,XBL,Stegersaurus Games,Microsoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Apr 10
45,25046,Baby T-Rex,GB,Beam Software,Beam Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93
46,25047,Baby Universe,PS,Sony Computer Entertainment Japan,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 98
47,25048,Babysitting Mania,PC,Gogii Games,iWin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jan 08
48,25049,Bachelor Party,2600,Mystique,Mystique,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 82
49,25050,Bachelorette Party/Burning Desire,2600,Playaround,Playaround,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 82
50,25051,Bachindaa,Wii,Magic Bear Cats,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,25052,Back side of the Earth: Pilot Brothers 3,And,Unknown,G5 Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Mar 14
52,25053,Back to Bed,PC,Bedtime Digital Games,Bedtime Digital Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Aug 14
53,25054,Back To Life 2,OSX,Unknown,Strategy First,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th May 14
54,25055,Back To Life 2,PC,Unknown,Strategy First,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th May 14
55,25056,Back to Stone,GBA,Hidden Floor,O~3 Entertainment,5.5,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 06
56,25057,Back to the Future,NES,Beam Software,LJN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 89
57,25058,Back to the Future Part II,MS,Mirrorsoft,Imageworks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90
58,25059,Back to the Future Part II,PC,Images Ltd,Imageworks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90
59,25060,Back to the Future Part II & III,NES,Beam Software,LJN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 90
60,25061,Back to the Future Part III,MS,Mirrorsoft,Imageworks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93
61,25062,Back to the Future Part III,GEN,Probe Entertainment Limited,Arena Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91
62,25063,Back to the Future Part III,PC,Probe Entertainment Limited,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91
63,25064,Back to the Future: The Game,PSN,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Feb 11
64,25065,Back to the Future: The Game - Episode I: It's About Time,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 10
65,25066,Back to the Future: The Game - Episode I: It's About Time,PSN,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Feb 11
66,25067,Back to the Future: The Game - Episode II: Get Tannen!,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Feb 11
67,25068,Back to the Future: The Game - Episode II: Get Tannen!,PSN,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 11
68,25069,Back to the Future: The Game - Episode III: Citizen Brown,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd May 11
69,25070,Back to the Future: The Game - Episode III: Citizen Brown,PSN,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd May 11
70,25071,Back to the Future: The Game - Episode IV: Double Visions,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Jun 11
71,25072,Back to the Future: The Game - Episode IV: Double Visions,PSN,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Jun 11
72,25073,Back to the Future: The Game - Episode V: OUTATIME,PC,Telltale Games,Unknown,6.9,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 70
73,25074,Back to the Future: The Game - Episode V: OUTATIME,PSN,Telltale Games,Telltale Games,7.0,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 11
74,25075,Back to the Garden,PC,The Pencil Farm,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,25076,Backbreaker: Vengeance,XBL,NaturalMotion Games,505 Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 11
76,25077,"Backgainer: Hishou-hen ""Uragiri no Senjou""",PS,Ving,Ving,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 98
77,25078,"Backgainer: Hishou-hen ""Uragiri no Senjou""",SAT,Ving,Ving,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 98
78,25079,"Backgainer: Kakusei-hen ""Gainer Tensei""",PS,Ving,Ving,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 98
79,25080,"Backgainer: Kakusei-hen ""Gainer Tensei""",SAT,Ving,Ving,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 98
80,25081,Backgammon,PS,Altron,Phoenix Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 03
81,25082,Backgammon,GB,Altron,JVC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 00
82,25083,Backgammon,2600,Atari,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 78
83,25084,Backgammon,PC,Fiendish Games,Fiendish Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Aug 00
84,25085,Backgammon,DSiW,GameOn,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,25086,Backgammon 2000,PS,Oxford Softworks,Unbalance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th May 00
86,25087,Backgammon Blitz,PSV,Unknown,VooFoo Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 14
87,25088,Backgammon Blitz,PS3,Unknown,VooFoo Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 14
88,25089,Backgammon Blitz,PS4,Unknown,VooFoo Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 14
89,25090,Backstreet Billiards,PSN,argent,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Nov 09
90,25091,Backyard Baseball,PC,Humongous Entertainment,Humongous,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Oct 97
91,25092,Backyard Baseball '09,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 08
92,25093,Backyard Baseball 2009,PC,Unknown,Humongous,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th May 08
93,25094,Backyard Basketball,PC,Humongous Entertainment,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st May 03
94,25095,Backyard Hockey,PC,Humongous Entertainment,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Oct 02
95,25096,Backyard Hockey 2005,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 04
96,25097,Backyard NBA Basketball 2004,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Sep 03
97,25098,Backyard NFL Football,PC,Humongous Entertainment,GT Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 99
98,25099,Backyard NFL Football '08,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Oct 07
99,25100,Backyard NFL Football '09,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 08
100,25101,Backyard NFL Football 2002,PC,Humongous Entertainment,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 01
101,25102,Backyard NFL Football 2004,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Sep 03
102,25103,Backyard NFL Football 2006,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Sep 05
103,25104,Backyard Skateboarding,GBA,Humongous,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 04
104,25105,Backyard Skateboarding 2006,PC,Humongous,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 05
105,25106,Backyard Soccer,PC,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,25107,Backyard Sports Baseball 2007,GC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Apr 07
107,25108,Backyard Sports Baseball 2007,GBA,Humongous Entertainment / Game Brains,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 06
108,25109,Backyard Sports Baseball 2007,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Sep 06
109,25110,Backyard Sports Basketball 2007,PS2,Game Brains,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Feb 07
110,25111,Backyard Sports Basketball 2007,PC,Humongous Entertainment,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Feb 07
