,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
0,20001,Tempest 4000,XOne,Llamasoft,Atari,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,27th Jul 18
1,20002,50 Classic Games,3DS,Unknown,Maximum Family Games,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,27th Mar 12
2,20003,MXGP 2,PC,Milestone S.r.l.,Milestone S.r.l.,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,08th Apr 16
3,20004,Barbie and Her Sisters Puppy Rescue,WiiU,Torus Games,Little Orbit,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,03rd Nov 15
4,20005,Mortal Kombat: Tournament Edition,GBA,Criterion Games,Midway Games,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,27th Aug 03
5,20006,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,XB,FUN Labs,Activision,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,01st Nov 05
6,20007,Myst,PSP,Cyan Worlds,Midway Games,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,13th Oct 06
7,20008,World Poker Tour,GBA,Backbone Emeryville,2K Sports,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,18th Oct 05
8,20009,Fab 5 Soccer,DS,Magellan Interactive,Destineer,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,11th Apr 08
9,20010,BattleTech: The Crescent Hawk's Inception,PC,Westwood Associates,Infocom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 88
10,20011,Infinite Stratos 2: Love and Purge,PSV,Unknown,5pb,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,03rd Sep 15
11,20012,Umihara Kawase Jun: Second Edition Kanzenban,DS,Genterprise,Genterprise,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,29th Oct 09
12,20013,Theatre Of War,PC,Battlefront,CDV Software Entertainment,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,19th May 08
13,20014,WRC: FIA World Rally Championship,PC,Milestone S.r.l,Unknown,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,01st Jan 70
14,20015,Destiny Links,DS,Bec,Namco Bandai,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,05th Feb 09
15,20016,Egg Mania: Eggstreme Madness,XB,HotGen Studios,Kemco,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,11th Sep 02
16,20017,Pro Angler Moves,PS3,"Interworks Unlimited, Inc.",Unknown,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,03rd Apr 12
17,20018,Farming Simulator 15 Expansion Pack,PC,Giants Software,Focus Home Interactive,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,29th Oct 15
18,20019,Flipping Death,NS,Zoink Games,Rising Star,7.5,N/A,0.01m,0.01m,N/A,N/A,0.00m,16th Oct 18
