,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
0,15001,Nicola Kanshuu: Model Oshare * Audition Platinum,3DS,Alchemist,Alchemist,N/A,N/A,0.08m,N/A,N/A,0.08m,N/A,08th Nov 12
1,15002,Junior Classic Books & Fairytales,DS,Navarre Corp,Virtual Play Games,N/A,N/A,0.08m,0.06m,0.01m,N/A,0.01m,03rd Aug 10
2,15003,Fairy Tail: Portable Guild 2,PSP,Konami,Konami,N/A,N/A,0.08m,N/A,N/A,0.08m,N/A,10th Mar 11
3,15004,Little League World Series Baseball: Double Play,DS,Black Lantern Studios,Activision,N/A,N/A,0.08m,0.07m,N/A,N/A,0.01m,20th Jul 10
4,15005,MTV Music Generator 3: This Is the Remix,XB,Mix Max,Codemasters,N/A,N/A,0.08m,0.06m,0.02m,N/A,0.00m,22nd Jun 04
5,15006,Shovel Knight,XOne,Yacht Club Games,Yacht Club Games,N/A,N/A,0.00m,0.00m,N/A,N/A,0.00m,13th Oct 15
6,16001,The Fast and the Furious,PS2,Eutechnyx,Namco Bandai,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,26th Sep 06
7,16002,SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,Behaviour Interactive,Activision,N/A,N/A,0.06m,N/A,0.05m,N/A,0.00m,22nd Oct 13
8,16003,Tokyo Ghoul: Jail,PSV,Bandai Namco Games,Namco Bandai Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,01st Oct 15
9,16004,G-Police: Weapons of Justice,PS,Psygnosis,Sony Computer Entertainment,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,24th Sep 99
10,16005,All Kamen Rider: Rider Generation 2,PSP,Bandai Namco Games,Namco Bandai Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,02nd Aug 12
