,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
11,16006,Azure Striker Gunvolt: Striker Pack,NS,Inti Creates,Nighthawk Interactive,N/A,N/A,0.06m,0.03m,0.01m,0.01m,0.00m,21st Nov 17
12,16007,Killing Zone,PS,Naxat Soft,Acclaim Entertainment,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,01st Jul 96
13,16008,Policenauts,3DO,Konami,Konami,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,29th Sep 95
14,16009,Spintires: MudRunner - American Wilds,NS,Saber Interactive,Maximum Games,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,23rd Oct 18
15,16010,Adventures of Lolo,NES,HAL Laboratory,HAL Laboratory,N/A,N/A,0.06m,0.06m,N/A,N/A,N/A,01st Apr 89
16,16011,Quiz! Hexagon II,DS,Bandai Namco Games,Namco Bandai,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,22nd Jul 10
17,16012,Outcast: Second Contact,PS4,Bigben Interactive,Maximum Games,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,14th Nov 17
18,16013,History Channel: Battle for the Pacific,X360,Cauldron Ltd.,Activision,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,04th Dec 07
19,16014,Racing Gears Advance,GBA,"Orbital Media, Inc.","Orbital Media, Inc.",N/A,N/A,0.06m,0.04m,0.02m,N/A,0.00m,08th Feb 05
20,16015,Honeycomb Beat,DS,Hudson Soft,Konami,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,02nd Apr 07
21,16016,Brave: A Warrior's Tale    Read the review,Wii,Collision Studios,SouthPeak Interactive,4.7,N/A,0.06m,0.05m,0.00m,N/A,0.00m,04th Aug 09
22,16017,Crazy Chicken: Pharaoh's Treasure,DS,Phenomedia,Mumbo Jumbo,N/A,N/A,0.06m,0.05m,N/A,N/A,0.00m,11th Jun 09
23,16018,Syphon Filter: Logan's Shadow,PS2,SCEA Bend Studio,Sony Computer Entertainment,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,01st Jun 10
24,16019,NTRA Breeders' Cup World Thoroughbred Championships,XB,4J Studios,Bethesda Softworks,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,29th Sep 05
25,16020,Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,PS2,Paon Corporation,Paon,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,13th Mar 08
26,16021,Impossible Mission,PSP,System 3 Software,System 3 Arcade Software,N/A,N/A,0.06m,N/A,0.04m,N/A,0.01m,31st Aug 07
27,16022,Tanjou S Debut,SAT,NEC Interchannel,NEC Interchannel,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,28th Jun 96
28,16023,Nendoroid Generation,PSP,Namco Bandai Games,Namco Bandai Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,23rd Feb 12
29,16024,Rooms: The Main Building,Wii,Hudson Soft,Hudson Soft,7.0,N/A,0.06m,0.05m,N/A,N/A,0.00m,23rd Mar 10
30,16025,Pop'n TwinBee: Rainbow Bell Adventure,SNES,Konami,Konami,N/A,N/A,0.06m,N/A,N/A,0.06m,0.00m,01st Jan 94
31,16026,Jumble Madness,DS,Anino Entertainment,Destineer,N/A,N/A,0.06m,0.06m,N/A,N/A,0.00m,20th Jan 09
32,16027,Portal Knights,NS,Keen Games,505 Games,N/A,N/A,0.06m,0.02m,0.02m,0.01m,0.00m,13th Feb 18
33,16028,Broken Helix,PS,Konami,Konami,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,29th May 97
34,16029,Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,DS,Marvelous Interactive,Marvelous Interactive,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,29th Apr 10
35,16030,Cardfight!! Vanguard G: Stride to Victory!!,3DS,FuRyu,FuRyu Corporation,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,14th Jan 16
36,16031,Myst III: Exile,XB,Presto Studios,Ubisoft,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,22nd Sep 02
37,16032,Top Gun: Hard Lock,X360,Headstrong Games,505 Games,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,06th Mar 12
38,16033,Brain Quest: Grades 3 & 4,DS,Planet Moon Studios,Electronic Arts,N/A,N/A,0.06m,0.05m,N/A,N/A,0.00m,22nd Sep 08
39,16034,Hajime no Ippo Portable: Victorious Spirits,PSP,ESP Software,Grand Prix Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,20th Dec 07
40,16035,Rapala Fishing Pro Series,XOne,"Concrete Software, Inc.",GameMill,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,24th Oct 17
41,16036,Zoo Tycoon: Complete Collection,PC,Blue Fang Games,Microsoft Game Studios,N/A,6.0,0.06m,0.03m,0.02m,N/A,0.01m,11th Aug 03
42,16037,CMT Presents: Karaoke Revolution Country,PS2,Harmonix Music Systems,Konami,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,21st Mar 06
43,16038,Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,Takara Tomy,Takara Tomy,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,28th Jun 07
44,16039,Men of War: Assault Squad,PC,Digitalmindsoft,1C Company,8.0,N/A,0.06m,0.01m,0.04m,N/A,0.01m,25th Feb 11
45,16040,Winx Club: Quest for the Codex,DS,Powerhead Games,Konami,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,13th Nov 06
46,16041,Jacqueline Wilson's Tracy Beaker: The Game,DS,P2 Games,P2 Games,N/A,N/A,0.06m,N/A,0.05m,N/A,0.00m,16th Oct 09
47,16042,Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,DS,High Horse Entertainment,Square Enix,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,30th Oct 08
48,16043,Fatal Frame,XB,Tecmo,Tecmo,7.9,N/A,0.06m,0.04m,0.01m,N/A,0.00m,22nd Nov 02
49,16044,Vitamin X to Z,PSP,HuneX,D3 Publisher,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,24th Feb 11
50,16045,Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,Ubisoft Shanghai,Ubisoft,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,28th Mar 06
51,16046,Urban Chaos: Riot Response,PS2,Rocksteady Studios,Eidos Interactive,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,13th Jun 06
52,16047,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,Konami,Konami,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,01st Dec 91
53,16048,Flip's Twisted World,Wii,Frozen North Productions,Majesco,N/A,N/A,0.06m,0.05m,N/A,N/A,0.00m,25th Oct 10
54,16049,X-Men: Destiny,DS,Other Ocean Interactive,Activision,2.0,N/A,0.06m,0.05m,0.01m,N/A,0.00m,27th Sep 11
55,16050,Challenge Me: Brain Puzzles 2,Wii,O Games,O-Games,N/A,N/A,0.06m,0.00m,0.05m,N/A,0.00m,26th Oct 10
56,16051,Resident Evil 2,GC,Capcom,Capcom,5.9,N/A,0.06m,0.04m,0.01m,N/A,0.00m,16th Jan 03
57,16052,Sacred 2: Fallen Angel,PC,Ascaron Entertainment,CDV Software Entertainment,N/A,N/A,0.06m,N/A,0.05m,N/A,0.01m,11th Nov 08
58,16053,Arslan: The Warriors of Legend,XOne,Koei Tecmo Games,Tecmo Koei,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.01m,09th Feb 16
59,16054,Real Bout Garou Densetsu Special: Dominated Mind,PS,SNK Corporation,SNK,N/A,N/A,0.06m,N/A,N/A,0.05m,0.00m,25th Jun 98
60,16055,Gun Showdown,PSP,Neversoft Entertainment / Rebellion,Activision,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.01m,10th Oct 06
61,16056,Minna no Sukkiri,PSP,SCEI,Sony Computer Entertainment,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,01st Oct 09
62,16057,Catwoman,XB,Argonaut Games,Electronic Arts,4.7,N/A,0.06m,0.04m,0.01m,N/A,0.00m,20th Jul 04
63,16058,Syndicate,PC,Bullfrog Productions,Electronic Arts,N/A,N/A,0.06m,0.00m,0.05m,N/A,0.01m,01st Jan 93
64,16059,Aquarium by DS,DS,Ertain,Bold Games,N/A,N/A,0.06m,0.05m,N/A,N/A,0.00m,14th Mar 08
65,16060,Gormiti: The Lords of Nature!,DS,Climax Group,Konami,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,21st Sep 10
66,16061,Star Ocean 5: Integrity and Faithlessness,PS3,tri-Ace,Square Enix,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,28th Apr 16
67,16062,Winx Club: Mission Enchantix,DS,Konami,Konami,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,25th Nov 08
68,16063,Warriors Orochi 2,X360,Omega Force,KOEI,4.6,N/A,0.06m,0.04m,0.00m,0.01m,0.00m,23rd Sep 08
69,16064,Burning Rangers,SAT,Sonic Team,Sega,N/A,N/A,0.06m,N/A,N/A,0.06m,0.00m,31st May 98
70,16065,Mana Khemia: Alchemists of Al-Revis,PS2,Gust,NIS America,6.6,N/A,0.06m,0.03m,0.02m,N/A,0.01m,01st Apr 08
71,16066,Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,Takara Tomy,Takara Tomy,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,22nd Jul 10
72,16067,Interplay Sports Baseball 2000,PS,Interplay,Interplay,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,31st Mar 99
73,16068,Zone of the Enders: The Fist of Mars,GBA,WinkySoft,Konami,N/A,N/A,0.06m,0.04m,0.02m,N/A,0.00m,03rd Mar 02
74,16069,Animorphs: Shattered Reality,PS,Single Trac,Infogrames,3.5,N/A,0.06m,0.03m,0.02m,N/A,0.00m,06th Sep 00
75,16070,Golf Club 2,XOne,HB Studios,Maximum Games,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,27th Jun 17
76,16071,Samurai Shodown Anthology,Wii,SNK Playmore Corporation,SNK Playmore,N/A,N/A,0.06m,0.05m,N/A,0.00m,0.00m,14th Apr 09
77,16072,Eikan wa Kimini 2002: Koshien no Kodou,PS2,ArtDink,DigiCube,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,18th Jul 02
78,16073,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,Konami,Konami,N/A,N/A,0.06m,N/A,N/A,0.06m,0.00m,01st Dec 93
79,16074,Atari's Greatest Hits: Volume 2,DS,Atari,Atari,N/A,N/A,0.06m,0.05m,N/A,N/A,0.00m,08th Mar 11
80,16075,Mark McMorris Infinite Air,XOne,HB Studios,Maximum Games,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,25th Oct 16
81,16076,Terminator 3: Rise of the Machines,GBA,Taniko,Atari,N/A,N/A,0.06m,0.04m,0.02m,N/A,0.00m,18th Nov 03
82,16077,Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,Sammy Studios,Sega,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,10th Aug 06
83,16078,G1 Jockey 2,PS2,Koei/Inis,KOEI,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,02nd Nov 00
84,16079,Tiger Woods PGA Tour 08,DS,Exient Ltd.,EA Sports,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,28th Aug 07
85,16080,Mobile Ops: The One Year War,X360,Dimps Corporation / Dream Execution,Unknown,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,N/A
86,16081,Constantine,XB,Bits Studios,THQ,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,14th Feb 05
87,16082,Cartoon Network: Battle Crashers,PS4,Magic Pockets,GameMill Entertainment,1.5,N/A,0.06m,0.05m,N/A,N/A,0.01m,08th Nov 16
88,16083,Tom Clancy's Splinter Cell: Double Agent,GC,Ubisoft Montreal,Ubisoft,5.6,N/A,0.06m,0.04m,0.01m,N/A,0.00m,26th Oct 06
89,16084,Tropico 5,X360,Haemimont Games,Kalypso Media,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,11th Nov 14
90,16085,Senritsu no Stratus,PSP,Nude Maker,Konami,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,27th Oct 11
91,16086,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,Takara Tomy,Takara Tomy,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,23rd Jul 09
92,16087,Nobunaga's Ambition: Sphere of Influence,PSV,Koei,Tecmo Koei,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,29th May 14
93,16088,World Championship Athletics,Wii,Crave Entertainment,Conspiracy Entertainment,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,04th Aug 09
94,16089,Handball 16,PS4,EKO Software,Bigben Interactive,N/A,N/A,0.06m,N/A,0.05m,N/A,0.01m,27th Nov 15
95,16090,Monster High: New Ghoul in School,3DS,Torus Games,Little Orbit,N/A,N/A,0.06m,N/A,0.05m,N/A,0.00m,27th Oct 15
96,16091,Nanostray,DS,Shin'en GmbH,Majesco,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,19th Jul 05
97,16092,Refrain no Chika Meikyuu to Majo no Ryodan,PSV,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,23rd Jun 16
98,16093,Extinction,PS4,Iron Galaxy,Maximum Games,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,10th Apr 18
99,16094,Etrian Mystery Dungeon 2,3DS,Atlus,Atlus,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,31st Aug 17
100,16095,Wantame Fortune Channel,DS,Capcom,Capcom,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,09th Aug 07
101,16096,Evangelion: Jo,PSP,Bec,Namco Bandai,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,04th Jun 09
102,16097,Gintama Ranbu,PS4,Bandai Namco Games,Bandai Namco Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,18th Jan 18
103,16098,Bleach: Blade Battlers 2nd,PS2,Racjin,Sony Computer Entertainment,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,27th Sep 07
104,16099,Real Soccer 2009,DS,Gameloft,Ubisoft,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,04th Nov 08
105,16100,Samurai Jack: The Shadow of Aku,PS2,Adrenium,Sega,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,24th Mar 04
106,16101,Utawarerumono: Mask of Deception,PS3,Aqua Plus,Aqua Plus,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,24th Sep 15
107,16102,Kamen Rider Kabuto,PS2,Bandai Namco Games,Namco Bandai,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,30th Nov 06
108,16103,Men in Black The Series: Crashdown,PS,Runecraft,Infogrames,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,01st Nov 01
109,16104,Need for Speed: Shift,PC,Slightly Mad Studios,Electronic Arts,8.3,N/A,0.06m,N/A,0.05m,N/A,0.01m,15th Sep 09
110,16105,Zero Divide,PS,Zoom Inc.,Time Warner Interactive,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,24th Aug 95
111,16106,FIFA Street,GC,EA Canada,EA Sports BIG,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,22nd Feb 05
112,16107,Tsugunai: Atonement,PS2,Cattle Call,Atlus,N/A,N/A,0.06m,0.02m,0.01m,0.02m,0.00m,29th Nov 01
113,16108,Rugby World Cup 2015,PS4,HB Studios,Big Ben Interactive,N/A,N/A,0.06m,N/A,0.05m,N/A,0.01m,04th Sep 15
114,16109,Lost Kingdoms II,GC,From Software,Activision,6.6,N/A,0.06m,0.04m,0.01m,N/A,0.00m,21st May 03
115,16110,Aggressive Inline,GC,"Z-Axis, Ltd.",Acclaim Entertainment,8.9,N/A,0.06m,0.04m,0.01m,N/A,0.00m,31st Jul 02
116,16111,Blade Dancer: Lineage of Light,PSP,Hit Maker,Nippon Ichi Software,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,18th Jul 06
117,16112,Monkey Island: Special Edition Collection,X360,LucasArts,Activision,N/A,N/A,0.06m,N/A,0.05m,N/A,0.01m,09th Sep 11
118,16113,One Piece: Pirate Warriors 3 - Deluxe Edition,NS,Omega Force,Bandai Namco Entertainment,8.5,N/A,0.06m,N/A,0.01m,0.05m,0.00m,11th May 18
119,16114,Rugby World Cup 2015,PS3,HB Studios,Big Ben Interactive,N/A,N/A,0.06m,N/A,0.05m,N/A,0.01m,04th Sep 15
120,16115,Viewtiful Joe: Red Hot Rumble,GC,Clover Studio,Capcom,6.2,N/A,0.06m,0.04m,0.01m,N/A,0.00m,08th Nov 05
121,16116,Kaite Shabette Hajimeyou! Monster Farm DS,DS,Tecmo,Tecmo,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,12th Jul 07
122,16117,Exist Archive: The Other Side of the Sky,PS4,tri-Ace,Aksys Games,N/A,N/A,0.06m,0.02m,N/A,0.03m,0.00m,18th Oct 16
123,16118,Pro Yakyuu Spirits 2012,PSV,Konami,Konami Digital Entertainment,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,29th Mar 12
124,16119,King's Quest: The Complete Collection,PS4,The Odd Gentlemen,Activision,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,24th Oct 16
125,16120,Generation of Chaos,PSP,Neverland,NIS America,5.9,N/A,0.06m,0.05m,0.00m,N/A,0.00m,28th Feb 06
126,16121,Sine Mora EX,PS4,Digital Reality,THQ Nordic,N/A,N/A,0.06m,0.03m,0.01m,N/A,0.01m,08th Aug 17
127,16122,Broken Sword II: The Smoking Mirror,PS,Revolution Software,Crave Entertainment,7.3,N/A,0.06m,0.03m,0.02m,N/A,0.00m,14th Nov 99
128,16123,SD Gundam G Generation Wars,Wii,Tom Create,Bandai,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,06th Aug 09
129,16124,Zoo Tycoon 2,PC,Blue Fang Games,Microsoft Game Studios,7.2,N/A,0.06m,N/A,0.05m,N/A,0.01m,11th Nov 04
130,16125,Enemy Front,PS3,City Interactive,City Interactive,N/A,N/A,0.06m,0.01m,0.04m,N/A,0.01m,10th Jun 14
131,16126,Pump It Up: Exceed,PS2,Andamiro U.S.A. Corp.,Mastiff,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,29th Aug 05
132,16127,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,Idea Factory,Idea Factory,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,18th Oct 12
133,16128,Scurge: Hive,DS,Unknown,SouthPeak Interactive,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,01st Nov 06
134,16129,Wreckless: ThE YaKuza MisSiOns,GC,Stealth Studios,Activision,6.4,N/A,0.06m,0.04m,0.01m,N/A,0.00m,13th Nov 02
135,16130,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,Bisty,D3 Publisher,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,27th Sep 07
136,16131,TOCA Race Driver 2: Ultimate Racing Simulator,PS2,Codemasters,Codemasters,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,05th Oct 04
137,16132,Dr. Muto,XB,Midway,Midway Games,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,19th Nov 02
138,16133,Girls RPG: Cinderellife,3DS,h.a.n.d. Inc.,Level 5,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,08th Mar 12
139,16134,Tom Clancy's Rainbow Six: Critical Hour,XB,Ubisoft Quebec,Ubisoft,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,14th Mar 06
140,16135,Bullet Girls 2,PSV,Shade,D3Publisher,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,21st Apr 16
141,16136,All Kamen Rider: Rider Revolution,3DS,Bandai Namco Games,Bandai Namco Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,01st Dec 16
142,16137,Scrabble Blast!,GBA,Visual Impact,DSI Games,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,02nd May 05
143,16138,Shantae: Half-Genie Hero,WiiU,Way Forward Technologies,WayForward Technologies,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,01st Apr 16
144,16139,Ride to Hell,X360,Deep Silver,Deep Silver,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.01m,25th Jun 13
145,16140,The Saboteur,PC,Pandemic Studios,Electronic Arts,7.1,N/A,0.06m,N/A,0.05m,N/A,0.01m,08th Dec 09
146,16141,Age of Mythology: The Titans,PC,Ensemble Studios,Microsoft Game Studios,8.2,N/A,0.06m,0.03m,0.02m,N/A,0.01m,30th Sep 03
147,16142,Fate/stay night [Réalta Nua],PSV,Type-Moon,Kadokawa Shoten,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,29th Nov 12
148,16143,Gintama no Sugoroku,PSP,Bandai Namco Games,Namco Bandai Games,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,24th Jan 13
149,16144,Zendoku,DS,Zoonami Ltd.,Eidos Interactive,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,26th Jun 07
150,16145,Gal Gun: Double Peace,PSV,Inti Creates,PQube,N/A,N/A,0.06m,N/A,0.03m,0.01m,0.01m,02nd Aug 16
151,16146,The Lord of the Rings: Aragorn's Quest,PS2,TT Fusion,Warner Bros. Interactive,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,14th Sep 10
152,16147,Aven Colony,PS4,Mothership Entertainment,Sold Out,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.01m,01st Aug 17
153,16148,Doraemon 4: Nobita to Toki no Okoku,SNES,Agenda,Epoch,N/A,N/A,0.06m,N/A,N/A,0.06m,0.00m,15th Dec 95
154,16149,Myst,SAT,SunSoft,Acclaim Entertainment,N/A,N/A,0.06m,N/A,N/A,0.06m,0.00m,01st Jan 95
155,16150,Toaru Kagaku no Chou Denjihou,PSP,Kadokawa Shoten,Kadokawa Shoten,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,08th Dec 11
156,16151,Starwinder: The Ultimate Space Race,PS,Mindscape,Mindscape,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,31st Oct 96
157,16152,Battle Chasers: Nightwar,PS4,Airship Syndicate,THQ Nordic,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,03rd Oct 17
158,16153,Angelique Trois,PS2,Koei/Inis,KOEI,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,22nd Nov 00
159,16154,Nobunaga?s Ambition: Sphere of Influence ? Ascension,PSV,Koei Tecmo Games,Tecmo Koei,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,24th Mar 16
160,16155,Party Arcade,NS,Solutions 2 Go,Planet Entertainment,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,09th Nov 18
161,16156,FIFA Soccer 06,DS,Exient Entertainment,EA Sports,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,04th Oct 05
162,16157,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,GSC Game World,THQ,8.0,N/A,0.06m,0.01m,0.04m,N/A,0.01m,20th Mar 07
163,16158,Dance Dance Revolution: Mario Mix (JP sales),GC,Konami,Nintendo,7.5,N/A,0.06m,N/A,N/A,0.05m,0.00m,24th Oct 05
164,16159,A-Train 6,PS2,ArtDink,Midas Interactive Entertainment,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,19th Mar 04
165,16160,Dino Pets,DS,Teyon,Destineer,N/A,N/A,0.06m,0.05m,0.00m,N/A,0.00m,21st Jul 09
166,16161,Meitantei Conan: Tantei Ryoku Trainer,DS,Bandai Namco Games,Namco Bandai,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,05th Apr 07
167,16162,Atari Flashback Classics: Volume 2,XOne,Atari,Atari,N/A,N/A,0.06m,0.05m,N/A,N/A,0.01m,12th Oct 16
168,16163,MotoGP,GBA,Visual Impact,THQ,N/A,N/A,0.06m,0.04m,0.01m,N/A,0.00m,08th Mar 02
169,16164,ESPN International Winter Sports 2002,PS2,Konami Computer Entertainment Osaka,Konami,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.01m,28th Jan 02
170,16165,"Tennis no Oji-Sama: Doubles no Oji-Sama - Girls, Be Gracious!",DS,Konami,Konami,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,05th Mar 09
171,16166,Grand Ages: Medieval,PC,Gaming Minds Studios,Kalypso Media,N/A,N/A,0.06m,N/A,0.05m,N/A,0.00m,29th Sep 15
172,16167,KimiKiss (ebKore+),PS2,Enterbrain,Enterbrain,N/A,N/A,0.06m,N/A,N/A,0.06m,N/A,14th Feb 08
173,16168,Gold and Glory: The Road to El Dorado,PS,Revolution Software,Ubisoft,N/A,N/A,0.06m,0.03m,0.02m,N/A,0.00m,19th Dec 00
174,16169,Choro Q Marine: Q Boat,PS,Takara,Takara,N/A,N/A,0.06m,N/A,N/A,0.05m,0.00m,25th Jun 98
175,16170,NBA Live 07,XB,EA Canada,EA Sports,6.4,N/A,0.06m,0.04m,0.01m,N/A,0.00m,25th Sep 06
