,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
0,10001,The BIGS 2,PS2,Blue Castle Games,2K Sports,N/A,N/A,0.20m,0.10m,0.08m,N/A,0.03m,07th Jul 09
1,10002,Sleeping Dogs: Definitive Edition,XOne,United Front Games,Square Enix,7.5,N/A,0.20m,0.10m,0.09m,N/A,0.02m,14th Oct 14
2,10003,Project CARS 2,XOne,Slightly Mad Studios,Namco Bandai Games,N/A,N/A,0.20m,0.01m,0.18m,N/A,0.01m,22nd Sep 17
3,10004,Press Your Luck 2010 Edition,DS,Ludia Inc.,Ubisoft,N/A,N/A,0.20m,0.19m,N/A,N/A,0.01m,27th Oct 09
4,10005,Mat Hoffman's Pro BMX 2,XB,Rainbow Studios,Activision,N/A,N/A,0.20m,0.15m,0.04m,N/A,0.01m,12th Aug 02
5,10006,Treasure Hunter G,SNES,Sting,Square,N/A,N/A,0.20m,N/A,N/A,0.20m,N/A,24th May 96
6,10007,From Russia With Love,XB,EA Redwood Shores,Electronic Arts,N/A,N/A,0.20m,0.15m,0.04m,N/A,0.01m,01st Nov 05
7,10008,Wing Arms,SAT,Sega,Sega,N/A,N/A,0.20m,N/A,N/A,0.20m,N/A,01st Jan 95
8,10009,Marvel Super Hero Squad: Comic Combat,PS3,THQ,THQ,N/A,N/A,0.20m,0.11m,0.05m,N/A,0.03m,15th Nov 11
9,10010,Space Pilgrim Episode I: Alpha Centauri,PC,Pilgrim Adventures,GrabTheGames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Dec 15
10,10011,Full Mojo Rampage,PC,Unknown,Over The Top Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th May 14
11,10012,Pro Yakyuu Spirits 2013,PS3,Konami,Konami Digital Entertainment,N/A,N/A,0.20m,N/A,N/A,0.20m,N/A,20th Mar 13
12,10013,Titanfall 2    Read the review,PC,Respawn Entertainment,Electronic Arts,N/A,N/A,0.20m,0.06m,0.12m,N/A,0.01m,28th Oct 16
13,10014,Cabela's Big Game Hunter (2008),PS2,Sand Grain Studios,Activision,N/A,N/A,0.20m,0.10m,0.08m,N/A,0.03m,06th Nov 07
14,10015,Record of Agarest War,X360,Compile Heart,Aksys Games,7.0,N/A,0.20m,0.18m,N/A,0.01m,0.01m,27th Apr 10
15,10016,Ridge Racer 6,X360,Namco,Namco,7.9,N/A,0.20m,0.10m,0.02m,0.07m,0.01m,17th Nov 05
16,10017,The Cheetah Girls: Passport to Stardom,DS,Handheld Games,Disney Interactive Studios,N/A,N/A,0.20m,0.18m,N/A,N/A,0.01m,13th Aug 08
17,10018,Grandia II,DC,Game Arts,Ubisoft,8.6,N/A,0.20m,N/A,N/A,0.20m,0.00m,06th Dec 00
18,10019,Just Hero,PC,Anatoliy Loginovskikh,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,10020,Namco Museum Vol.4,PS,Namco,Namco,N/A,N/A,0.20m,0.02m,0.01m,0.16m,0.01m,30th Jun 97
20,10021,Classic NES Series: Ice Climber,GBA,Nintendo,Nintendo,6.1,N/A,0.20m,N/A,N/A,0.20m,N/A,02nd Jun 04
21,10022,Neighborhood Games,Wii,Jet Black Games,THQ,N/A,N/A,0.20m,0.17m,0.02m,N/A,0.01m,12th Jan 09
22,10023,Shark Tale,XB,Edge of Reality,Activision,N/A,N/A,0.20m,0.15m,0.04m,N/A,0.01m,27th Sep 04
23,10024,UFC Personal Trainer: The Ultimate Fitness System,Wii,THQ,THQ,N/A,N/A,0.20m,0.12m,0.06m,N/A,0.02m,12th Jul 11
24,10025,NFL Street 2,GC,EA Tiburon,EA Sports BIG,8.2,N/A,0.20m,0.15m,0.04m,N/A,0.01m,22nd Dec 04
25,10026,God Eater Resurrection,PSV,Namco Bandai Games,Namco Bandai Games,N/A,N/A,0.20m,N/A,N/A,0.20m,N/A,01st Oct 16
26,10027,Pro Yakyuu Spirits 2013,PSP,Konami,Konami Digital Entertainment,N/A,N/A,0.20m,N/A,N/A,0.20m,N/A,20th Mar 13
27,10028,My Secret World by Imagine,DS,Ubisoft,Ubisoft,N/A,N/A,0.20m,N/A,0.20m,N/A,N/A,16th Sep 08
