,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
0,1,Tetris,Series,Alexey Pajitnov,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 84
1,2,Super Mario,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Jul 83
2,3,Pokemon,Series,Game Freak,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 98
3,4,Grand Theft Auto,Series,Rockstar North,Rockstar Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Mar 98
4,5,FIFA,Series,Extended Play Productions (1991-1997),EA Sports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 93
5,6,Call of Duty,Series,Infinity Ward,Activision,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 03
6,7,Lego,Series,TT Fusion,Mindscape,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Sep 97
7,8,Minecraft,Series,Mojang,Mojang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 11
8,9,Minecraft,All,Mojang AB,Mojang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 11
9,10,The Sims,Series,Maxis,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Feb 00
10,11,Final Fantasy,Series,Square,Square,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 87
11,12,Assassin's Creed,Series,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Nov 07
12,13,Mario Kart,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 92
13,14,Need for Speed,Series,EA Black Box,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Aug 94
14,15,Grand Theft Auto V,All,Rockstar North,Rockstar Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 13
15,16,Madden NFL,Series,Park Place Productions,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 88
16,17,Wii Sports,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 06
17,18,NBA 2K,Series,Visual Concepts,Sega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 99
18,19,The Legend of Zelda,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Jul 87
19,20,Pro Evolution Soccer,Series,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 95
20,21,Resident Evil,Series,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Mar 96
21,22,Wii Sports,Wii,Nintendo EAD,Nintendo,7.7,N/A,82.65m,41.36m,29.02m,3.77m,8.51m,19th Nov 06
22,23,Dragon Quest,Series,ArtePiazza,Square,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th May 86
23,24,Halo,Series,Bungie,Microsoft Game Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 01
24,25,Tomb Raider,Series,Core Design,Eidos Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Nov 96
25,26,Gran Turismo,Series,Polyphony Digital,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th May 98
26,27,Battlefield,Series,EA DICE,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Sep 02
27,28,Sonic the Hedgehog,Series,Sonic Team,Sega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jun 91
28,29,Worms,Series,Team17,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,30,Monster Hunter,Series,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 04
30,31,Just Dance,Series,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Nov 09
31,32,PlayerUnknown's Battlegrounds,All,PUBG Corporation,PUBG Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 17
32,33,PUBG,Series,PUBG Corporation,PUBG Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Dec 17
33,34,WWE 2K,Series,Visual Concepts,THQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Mar 00
34,35,Animal Crossing,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Sep 02
35,36,Counter-Strike,Series,Valve,Valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 00
36,37,The Oregon Trail,Series,MECC,MECC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 71
37,38,Super Smash Bros.,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 99
38,39,Donkey Kong,Series,Nintendo,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 81
39,40,Borderlands,Series,Gearbox Software,2K Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Oct 09
40,41,Dragon Ball,Series,Tose,Bandai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 86
41,42,The Elder Scrolls,Series,Bethesda Softworks,Bethesda Softworks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 94
42,43,Metal Gear,Series,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jul 87
43,44,Mario Party,Series,Hudson Soft,Nintendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 99
44,45,Mortal Kombat,Series,Avalanche Software,Midway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 92
45,46,Red Dead,Series,Rockstar San Diego,Rockstar Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th May 04
46,47,Far Cry,Series,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Mar 04
47,48,God of War,Series,SIE Santa Monica Studio,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 05
48,49,Tekken,Series,Bandai Namco Studios,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 94
49,50,The Walking Dead: Telltale Games Series,Series,Telltale Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,51,Bejeweled,Series,PopCap Games,PopCap Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th May 01
51,52,Crash Bandicoot,Series,Naughty Dog,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Sep 96
52,53,Diablo,Series,Blizzard North,Blizzard Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jan 97
53,54,Lego Star Wars,Series,TT Fusion,Eidos Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 05
