,year_month,new_games,xbox,playstation,nintendo,year,month
81,2011-10,2,42,8,11,2011,10
82,2011-11,3,62,12,18,2011,11
83,2011-12,3,73,13,21,2011,12
84,2012-01,2,44,8,12,2012,01
85,2012-02,2,37,10,11,2012,02
86,2012-03,2,36,7,11,2012,03
87,2012-04,2,31,7,9,2012,04
88,2012-05,2,31,6,9,2012,05
89,2012-06,2,37,7,10,2012,06
90,2012-07,2,40,8,12,2012,07
91,2012-08,2,36,7,11,2012,08
92,2012-09,2,31,7,11,2012,09
93,2012-10,2,30,6,10,2012,10
94,2012-11,2,47,10,14,2012,11
95,2012-12,2,59,11,19,2012,12
96,2013-01,2,38,7,10,2013,01
97,2013-02,2,37,8,10,2013,02
98,2013-03,2,36,7,9,2013,03
99,2013-04,2,31,6,9,2013,04
100,2013-05,2,38,6,9,2013,05
101,2013-06,2,61,12,13,2013,06
102,2013-07,1,52,9,11,2013,07
103,2013-08,2,46,9,10,2013,08
104,2013-09,2,42,8,8,2013,09
105,2013-10,2,37,9,10,2013,10
106,2013-11,2,82,16,13,2013,11
107,2013-12,2,98,16,17,2013,12
108,2014-01,1,58,10,11,2014,01
109,2014-02,1,50,10,9,2014,02
110,2014-03,1,49,10,9,2014,03
111,2014-04,1,42,9,8,2014,04
112,2014-05,1,43,9,8,2014,05
113,2014-06,2,56,10,11,2014,06
114,2014-07,2,54,10,10,2014,07
115,2014-08,2,55,10,9,2014,08
116,2014-09,2,43,8,8,2014,09
117,2014-10,2,41,8,8,2014,10
118,2014-11,2,73,12,11,2014,11
119,2014-12,2,87,17,16,2014,12
120,2015-01,1,53,11,11,2015,01
121,2015-02,2,47,10,10,2015,02
122,2015-03,2,45,9,10,2015,03
123,2015-04,2,42,8,9,2015,04
124,2015-05,1,42,8,9,2015,05
125,2015-06,2,58,10,10,2015,06
126,2015-07,1,55,10,10,2015,07
127,2015-08,2,53,10,9,2015,08
128,2015-09,1,45,9,8,2015,09
129,2015-10,2,47,8,9,2015,10
130,2015-11,3,83,13,12,2015,11
131,2015-12,2,100,16,15,2015,12
132,2016-01,1,56,9,9,2016,01
133,2016-02,2,48,8,9,2016,02
134,2016-03,1,44,8,9,2016,03
135,2016-04,1,41,8,7,2016,04
136,2016-05,1,41,7,7,2016,05
137,2016-06,2,52,10,9,2016,06
138,2016-07,1,47,8,14,2016,07
139,2016-08,1,41,8,9,2016,08
140,2016-09,1,39,9,8,2016,09
141,2016-10,1,40,11,10,2016,10
142,2016-11,2,62,13,20,2016,11
143,2016-12,2,81,16,19,2016,12
144,2017-01,1,49,10,18,2017,01
145,2017-02,1,41,9,15,2017,02
146,2017-03,1,41,9,31,2017,03
147,2017-04,1,38,7,18,2017,04
148,2017-05,1,35,7,15,2017,05
149,2017-06,1,45,9,18,2017,06
150,2017-07,1,41,9,17,2017,07
151,2017-08,1,37,8,15,2017,08
152,2017-09,1,35,8,18,2017,09
153,2017-10,1,34,8,20,2017,10
154,2017-11,2,69,14,37,2017,11
155,2017-12,2,76,16,49,2017,12
